000034 Errors: L1: 1.225e-03, L2: 1.211e-03, BCE: 4.147e-02, Same sim: 9.516e-01 +/- 2.147e-01, Diff sim: 6.268e-04 +/- 2.475e-02, 
000035 Errors: L1: 3.113e-03, L2: 3.086e-03, BCE: 1.065e-01, Same sim: 8.765e-01 +/- 3.289e-01, Diff sim: 1.589e-03 +/- 3.950e-02, 
000036 Errors: L1: 9.513e-04, L2: 9.374e-04, BCE: 3.072e-02, Same sim: 9.625e-01 +/- 1.900e-01, Diff sim: 4.886e-04 +/- 2.178e-02, 
000037 Errors: L1: 1.307e-03, L2: 1.289e-03, BCE: 3.942e-02, Same sim: 9.484e-01 +/- 2.211e-01, Diff sim: 6.705e-04 +/- 2.553e-02, 
000038 Errors: L1: 1.018e-02, L2: 1.016e-02, BCE: 3.413e-01, Same sim: 5.937e-01 +/- 4.911e-01, Diff sim: 5.168e-03 +/- 7.152e-02, 
000039 Errors: L1: 1.019e-02, L2: 1.016e-02, BCE: 3.408e-01, Same sim: 5.937e-01 +/- 4.911e-01, Diff sim: 5.179e-03 +/- 7.152e-02, 
000040 Errors: L1: 1.281e-02, L2: 1.273e-02, BCE: 4.282e-01, Same sim: 4.906e-01 +/- 4.998e-01, Diff sim: 6.524e-03 +/- 8.002e-02, 
000041 Errors: L1: 3.022e-03, L2: 3.008e-03, BCE: 1.016e-01, Same sim: 8.797e-01 +/- 3.253e-01, Diff sim: 1.537e-03 +/- 3.899e-02, 
000042 Errors: L1: 1.163e-02, L2: 1.152e-02, BCE: 3.667e-01, Same sim: 5.391e-01 +/- 4.983e-01, Diff sim: 5.945e-03 +/- 7.614e-02, 
000043 Errors: L1: 4.392e-03, L2: 4.375e-03, BCE: 1.444e-01, Same sim: 8.250e-01 +/- 3.799e-01, Diff sim: 2.232e-03 +/- 4.701e-02, 
000044 Errors: L1: 3.764e-03, L2: 3.750e-03, BCE: 1.166e-01, Same sim: 8.500e-01 +/- 3.570e-01, Diff sim: 1.913e-03 +/- 4.353e-02, 
000045 Errors: L1: 3.650e-03, L2: 3.632e-03, BCE: 1.129e-01, Same sim: 8.547e-01 +/- 3.524e-01, Diff sim: 1.857e-03 +/- 4.285e-02, 
000046 Errors: L1: 3.307e-03, L2: 3.117e-03, BCE: 9.647e-02, Same sim: 8.748e-01 +/- 3.301e-01, Diff sim: 1.764e-03 +/- 3.969e-02, 
000047 Errors: L1: 1.304e-03, L2: 1.289e-03, BCE: 4.241e-02, Same sim: 9.484e-01 +/- 2.211e-01, Diff sim: 6.678e-04 +/- 2.554e-02, 
000048 Errors: L1: 1.422e-03, L2: 1.406e-03, BCE: 4.518e-02, Same sim: 9.437e-01 +/- 2.304e-01, Diff sim: 7.278e-04 +/- 2.667e-02, 
000049 Errors: L1: 9.979e-03, L2: 9.841e-03, BCE: 3.227e-01, Same sim: 6.062e-01 +/- 4.885e-01, Diff sim: 5.121e-03 +/- 7.040e-02, 
000050 Errors: L1: 1.106e-02, L2: 1.101e-02, BCE: 3.675e-01, Same sim: 5.594e-01 +/- 4.964e-01, Diff sim: 5.625e-03 +/- 7.447e-02, 
000051 Errors: L1: 3.763e-03, L2: 3.750e-03, BCE: 1.241e-01, Same sim: 8.500e-01 +/- 3.571e-01, Diff sim: 1.912e-03 +/- 4.353e-02, 
000052 Errors: L1: 1.144e-02, L2: 1.136e-02, BCE: 3.651e-01, Same sim: 5.453e-01 +/- 4.978e-01, Diff sim: 5.832e-03 +/- 7.563e-02, 
000053 Errors: L1: 5.218e-03, L2: 5.195e-03, BCE: 1.777e-01, Same sim: 7.922e-01 +/- 4.057e-01, Diff sim: 2.654e-03 +/- 5.122e-02, 
000054 Errors: L1: 4.474e-03, L2: 4.453e-03, BCE: 1.452e-01, Same sim: 8.219e-01 +/- 3.826e-01, Diff sim: 2.275e-03 +/- 4.743e-02, 
000055 Errors: L1: 1.548e-02, L2: 1.539e-02, BCE: 5.100e-01, Same sim: 3.844e-01 +/- 4.863e-01, Diff sim: 7.887e-03 +/- 8.792e-02, 
000056 Errors: L1: 2.910e-03, L2: 2.890e-03, BCE: 9.829e-02, Same sim: 8.844e-01 +/- 3.198e-01, Diff sim: 1.483e-03 +/- 3.823e-02, 
000057 Errors: L1: 1.024e-02, L2: 1.019e-02, BCE: 3.226e-01, Same sim: 5.922e-01 +/- 4.914e-01, Diff sim: 5.205e-03 +/- 7.166e-02, 
000058 Errors: L1: 1.144e-02, L2: 1.141e-02, BCE: 3.617e-01, Same sim: 5.438e-01 +/- 4.980e-01, Diff sim: 5.814e-03 +/- 7.577e-02, 
000059 Errors: L1: 1.239e-02, L2: 1.226e-02, BCE: 3.943e-01, Same sim: 5.093e-01 +/- 4.997e-01, Diff sim: 6.332e-03 +/- 7.853e-02, 
000060 Errors: L1: 3.882e-03, L2: 3.867e-03, BCE: 1.295e-01, Same sim: 8.453e-01 +/- 3.616e-01, Diff sim: 1.973e-03 +/- 4.420e-02, 
000061 Errors: L1: 1.499e-03, L2: 1.484e-03, BCE: 5.188e-02, Same sim: 9.406e-01 +/- 2.363e-01, Diff sim: 7.662e-04 +/- 2.740e-02, 
000062 Errors: L1: 3.254e-03, L2: 3.242e-03, BCE: 1.033e-01, Same sim: 8.703e-01 +/- 3.359e-01, Diff sim: 1.653e-03 +/- 4.048e-02, 
000063 Errors: L1: 1.182e-02, L2: 1.176e-02, BCE: 3.849e-01, Same sim: 5.297e-01 +/- 4.990e-01, Diff sim: 6.016e-03 +/- 7.692e-02, 
000064 Errors: L1: 2.866e-03, L2: 2.851e-03, BCE: 1.045e-01, Same sim: 8.859e-01 +/- 3.179e-01, Diff sim: 1.458e-03 +/- 3.797e-02, 
000065 Errors: L1: 1.152e-02, L2: 1.124e-02, BCE: 3.606e-01, Same sim: 5.499e-01 +/- 4.971e-01, Diff sim: 5.969e-03 +/- 7.519e-02, 
000066 Errors: L1: 1.085e-02, L2: 1.078e-02, BCE: 3.460e-01, Same sim: 5.687e-01 +/- 4.952e-01, Diff sim: 5.531e-03 +/- 7.367e-02, 
000067 Errors: L1: 3.456e-03, L2: 3.437e-03, BCE: 1.186e-01, Same sim: 8.625e-01 +/- 3.444e-01, Diff sim: 1.759e-03 +/- 4.168e-02, 
000068 Errors: L1: 2.788e-03, L2: 2.773e-03, BCE: 9.504e-02, Same sim: 8.891e-01 +/- 3.140e-01, Diff sim: 1.419e-03 +/- 3.745e-02, 
000069 Errors: L1: 2.590e-03, L2: 2.578e-03, BCE: 8.976e-02, Same sim: 8.969e-01 +/- 3.041e-01, Diff sim: 1.318e-03 +/- 3.610e-02, 
000070 Errors: L1: 2.823e-03, L2: 2.812e-03, BCE: 9.069e-02, Same sim: 8.875e-01 +/- 3.160e-01, Diff sim: 1.435e-03 +/- 3.771e-02, 
000071 Errors: L1: 1.866e-02, L2: 1.644e-02, BCE: 4.943e-01, Same sim: 3.397e-01 +/- 4.709e-01, Diff sim: 1.054e-02 +/- 9.060e-02, 
000072 Errors: L1: 1.235e-02, L2: 1.222e-02, BCE: 3.877e-01, Same sim: 5.110e-01 +/- 4.997e-01, Diff sim: 6.320e-03 +/- 7.841e-02, 
000073 Errors: L1: 1.148e-02, L2: 1.140e-02, BCE: 3.766e-01, Same sim: 5.437e-01 +/- 4.980e-01, Diff sim: 5.847e-03 +/- 7.576e-02, 
000074 Errors: L1: 3.216e-03, L2: 3.163e-03, BCE: 1.112e-01, Same sim: 8.734e-01 +/- 3.324e-01, Diff sim: 1.655e-03 +/- 3.998e-02, 
000075 Errors: L1: 3.140e-03, L2: 3.125e-03, BCE: 1.000e-01, Same sim: 8.750e-01 +/- 3.307e-01, Diff sim: 1.598e-03 +/- 3.974e-02, 
000076 Errors: L1: 1.220e-02, L2: 1.211e-02, BCE: 3.952e-01, Same sim: 5.156e-01 +/- 4.996e-01, Diff sim: 6.218e-03 +/- 7.804e-02, 
