000000 Errors: L1: 4.603e-03, L2: 4.583e-03, BCE: 1.566e-01, Same sim: 8.167e-01 +/- 3.869e-01, Diff sim: 2.341e-03 +/- 4.812e-02, 
000001 Errors: L1: 4.745e-03, L2: 4.722e-03, BCE: 1.593e-01, Same sim: 8.111e-01 +/- 3.914e-01, Diff sim: 2.414e-03 +/- 4.884e-02, 
000002 Errors: L1: 4.114e-03, L2: 4.097e-03, BCE: 1.311e-01, Same sim: 8.361e-01 +/- 3.702e-01, Diff sim: 2.092e-03 +/- 4.550e-02, 
000003 Errors: L1: 5.152e-03, L2: 5.139e-03, BCE: 1.694e-01, Same sim: 7.944e-01 +/- 4.041e-01, Diff sim: 2.615e-03 +/- 5.094e-02, 
000004 Errors: L1: 5.501e-03, L2: 5.486e-03, BCE: 1.741e-01, Same sim: 7.806e-01 +/- 4.138e-01, Diff sim: 2.793e-03 +/- 5.263e-02, 
000005 Errors: L1: 5.851e-03, L2: 5.833e-03, BCE: 2.038e-01, Same sim: 7.667e-01 +/- 4.229e-01, Diff sim: 2.972e-03 +/- 5.426e-02, 
000006 Errors: L1: 4.603e-03, L2: 4.583e-03, BCE: 1.376e-01, Same sim: 8.167e-01 +/- 3.869e-01, Diff sim: 2.341e-03 +/- 4.811e-02, 
000007 Errors: L1: 5.228e-03, L2: 5.208e-03, BCE: 1.737e-01, Same sim: 7.917e-01 +/- 4.061e-01, Diff sim: 2.657e-03 +/- 5.128e-02, 
000008 Errors: L1: 5.576e-03, L2: 5.555e-03, BCE: 1.950e-01, Same sim: 7.778e-01 +/- 4.157e-01, Diff sim: 2.833e-03 +/- 5.296e-02, 
000009 Errors: L1: 5.571e-03, L2: 5.555e-03, BCE: 1.892e-01, Same sim: 7.778e-01 +/- 4.157e-01, Diff sim: 2.828e-03 +/- 5.296e-02, 
000010 Errors: L1: 1.314e-02, L2: 1.312e-02, BCE: 4.641e-01, Same sim: 4.750e-01 +/- 4.994e-01, Diff sim: 6.664e-03 +/- 8.125e-02, 
000011 Errors: L1: 5.914e-03, L2: 5.902e-03, BCE: 1.885e-01, Same sim: 7.639e-01 +/- 4.247e-01, Diff sim: 3.000e-03 +/- 5.459e-02, 
000012 Errors: L1: 5.011e-03, L2: 4.999e-03, BCE: 1.655e-01, Same sim: 8.000e-01 +/- 4.000e-01, Diff sim: 2.543e-03 +/- 5.025e-02, 
000013 Errors: L1: 5.779e-03, L2: 5.763e-03, BCE: 1.840e-01, Same sim: 7.694e-01 +/- 4.212e-01, Diff sim: 2.934e-03 +/- 5.394e-02, 
000014 Errors: L1: 1.308e-02, L2: 1.306e-02, BCE: 4.425e-01, Same sim: 4.778e-01 +/- 4.995e-01, Diff sim: 6.632e-03 +/- 8.103e-02, 
000015 Errors: L1: 5.567e-03, L2: 5.555e-03, BCE: 1.891e-01, Same sim: 7.778e-01 +/- 4.157e-01, Diff sim: 2.824e-03 +/- 5.296e-02, 
000016 Errors: L1: 5.714e-03, L2: 5.694e-03, BCE: 1.812e-01, Same sim: 7.722e-01 +/- 4.194e-01, Diff sim: 2.903e-03 +/- 5.362e-02, 
000017 Errors: L1: 5.852e-03, L2: 5.833e-03, BCE: 1.947e-01, Same sim: 7.667e-01 +/- 4.229e-01, Diff sim: 2.972e-03 +/- 5.426e-02, 
000018 Errors: L1: 4.604e-03, L2: 4.583e-03, BCE: 1.625e-01, Same sim: 8.167e-01 +/- 3.869e-01, Diff sim: 2.342e-03 +/- 4.812e-02, 
000019 Errors: L1: 5.919e-03, L2: 5.902e-03, BCE: 2.040e-01, Same sim: 7.639e-01 +/- 4.247e-01, Diff sim: 3.005e-03 +/- 5.459e-02, 
000020 Errors: L1: 1.217e-02, L2: 1.215e-02, BCE: 4.269e-01, Same sim: 5.139e-01 +/- 4.998e-01, Diff sim: 6.175e-03 +/- 7.820e-02, 
000021 Errors: L1: 5.642e-03, L2: 5.624e-03, BCE: 1.841e-01, Same sim: 7.750e-01 +/- 4.176e-01, Diff sim: 2.866e-03 +/- 5.329e-02, 
000022 Errors: L1: 5.089e-03, L2: 5.069e-03, BCE: 1.697e-01, Same sim: 7.972e-01 +/- 4.020e-01, Diff sim: 2.586e-03 +/- 5.060e-02, 
000023 Errors: L1: 4.111e-03, L2: 4.097e-03, BCE: 1.373e-01, Same sim: 8.361e-01 +/- 3.702e-01, Diff sim: 2.088e-03 +/- 4.550e-02, 
000024 Errors: L1: 1.301e-02, L2: 1.299e-02, BCE: 4.363e-01, Same sim: 4.806e-01 +/- 4.996e-01, Diff sim: 6.595e-03 +/- 8.082e-02, 
000025 Errors: L1: 1.328e-02, L2: 1.326e-02, BCE: 4.494e-01, Same sim: 4.694e-01 +/- 4.990e-01, Diff sim: 6.736e-03 +/- 8.167e-02, 
000026 Errors: L1: 1.322e-02, L2: 1.319e-02, BCE: 4.352e-01, Same sim: 4.722e-01 +/- 4.992e-01, Diff sim: 6.702e-03 +/- 8.146e-02, 
000027 Errors: L1: 1.315e-02, L2: 1.312e-02, BCE: 4.466e-01, Same sim: 4.750e-01 +/- 4.993e-01, Diff sim: 6.667e-03 +/- 8.125e-02, 
000028 Errors: L1: 1.335e-02, L2: 1.333e-02, BCE: 4.556e-01, Same sim: 4.667e-01 +/- 4.989e-01, Diff sim: 6.772e-03 +/- 8.188e-02, 
000029 Errors: L1: 1.244e-02, L2: 1.243e-02, BCE: 4.378e-01, Same sim: 5.028e-01 +/- 5.000e-01, Diff sim: 6.306e-03 +/- 7.908e-02, 
000030 Errors: L1: 3.632e-03, L2: 3.611e-03, BCE: 1.244e-01, Same sim: 8.555e-01 +/- 3.515e-01, Diff sim: 1.849e-03 +/- 4.272e-02, 
000031 Errors: L1: 1.224e-02, L2: 1.222e-02, BCE: 4.164e-01, Same sim: 5.111e-01 +/- 4.999e-01, Diff sim: 6.203e-03 +/- 7.842e-02, 
000032 Errors: L1: 5.294e-03, L2: 5.277e-03, BCE: 1.710e-01, Same sim: 7.889e-01 +/- 4.081e-01, Diff sim: 2.688e-03 +/- 5.162e-02, 
000033 Errors: L1: 5.297e-03, L2: 5.277e-03, BCE: 1.726e-01, Same sim: 7.889e-01 +/- 4.081e-01, Diff sim: 2.692e-03 +/- 5.162e-02, 
000034 Errors: L1: 4.048e-03, L2: 4.028e-03, BCE: 1.398e-01, Same sim: 8.389e-01 +/- 3.676e-01, Diff sim: 2.060e-03 +/- 4.511e-02, 
000035 Errors: L1: 4.184e-03, L2: 4.166e-03, BCE: 1.367e-01, Same sim: 8.333e-01 +/- 3.727e-01, Diff sim: 2.127e-03 +/- 4.588e-02, 
000036 Errors: L1: 3.628e-03, L2: 3.611e-03, BCE: 1.156e-01, Same sim: 8.555e-01 +/- 3.515e-01, Diff sim: 1.846e-03 +/- 4.272e-02, 
000037 Errors: L1: 5.019e-03, L2: 5.000e-03, BCE: 1.668e-01, Same sim: 8.000e-01 +/- 4.000e-01, Diff sim: 2.551e-03 +/- 5.025e-02, 
000038 Errors: L1: 5.435e-03, L2: 5.416e-03, BCE: 1.763e-01, Same sim: 7.833e-01 +/- 4.119e-01, Diff sim: 2.761e-03 +/- 5.230e-02, 
000039 Errors: L1: 3.766e-03, L2: 3.750e-03, BCE: 1.217e-01, Same sim: 8.500e-01 +/- 3.571e-01, Diff sim: 1.915e-03 +/- 4.353e-02, 
000040 Errors: L1: 6.339e-03, L2: 6.319e-03, BCE: 2.234e-01, Same sim: 7.472e-01 +/- 4.346e-01, Diff sim: 3.219e-03 +/- 5.647e-02, 
000041 Errors: L1: 6.051e-03, L2: 6.041e-03, BCE: 2.019e-01, Same sim: 7.583e-01 +/- 4.281e-01, Diff sim: 3.068e-03 +/- 5.522e-02, 
000042 Errors: L1: 5.222e-03, L2: 5.208e-03, BCE: 1.875e-01, Same sim: 7.917e-01 +/- 4.061e-01, Diff sim: 2.650e-03 +/- 5.128e-02, 
000043 Errors: L1: 4.454e-03, L2: 4.444e-03, BCE: 1.517e-01, Same sim: 8.222e-01 +/- 3.823e-01, Diff sim: 2.260e-03 +/- 4.738e-02, 
000044 Errors: L1: 6.755e-03, L2: 6.736e-03, BCE: 2.165e-01, Same sim: 7.306e-01 +/- 4.436e-01, Diff sim: 3.430e-03 +/- 5.830e-02, 
000045 Errors: L1: 6.326e-03, L2: 6.319e-03, BCE: 2.281e-01, Same sim: 7.472e-01 +/- 4.346e-01, Diff sim: 3.206e-03 +/- 5.647e-02, 
000046 Errors: L1: 6.199e-03, L2: 6.180e-03, BCE: 2.005e-01, Same sim: 7.528e-01 +/- 4.314e-01, Diff sim: 3.148e-03 +/- 5.585e-02, 
000047 Errors: L1: 4.739e-03, L2: 4.722e-03, BCE: 1.590e-01, Same sim: 8.111e-01 +/- 3.914e-01, Diff sim: 2.407e-03 +/- 4.884e-02, 
000048 Errors: L1: 5.150e-03, L2: 5.139e-03, BCE: 1.831e-01, Same sim: 7.944e-01 +/- 4.041e-01, Diff sim: 2.613e-03 +/- 5.094e-02, 
000049 Errors: L1: 5.438e-03, L2: 5.416e-03, BCE: 1.880e-01, Same sim: 7.833e-01 +/- 4.119e-01, Diff sim: 2.765e-03 +/- 5.230e-02, 
000050 Errors: L1: 1.328e-02, L2: 1.326e-02, BCE: 4.625e-01, Same sim: 4.694e-01 +/- 4.990e-01, Diff sim: 6.729e-03 +/- 8.167e-02, 
000051 Errors: L1: 5.082e-03, L2: 5.069e-03, BCE: 1.734e-01, Same sim: 7.972e-01 +/- 4.021e-01, Diff sim: 2.579e-03 +/- 5.060e-02, 
000052 Errors: L1: 7.104e-03, L2: 7.083e-03, BCE: 2.392e-01, Same sim: 7.167e-01 +/- 4.506e-01, Diff sim: 3.607e-03 +/- 5.978e-02, 
000053 Errors: L1: 6.336e-03, L2: 6.319e-03, BCE: 2.086e-01, Same sim: 7.472e-01 +/- 4.346e-01, Diff sim: 3.217e-03 +/- 5.647e-02, 
000054 Errors: L1: 4.325e-03, L2: 4.305e-03, BCE: 1.456e-01, Same sim: 8.278e-01 +/- 3.775e-01, Diff sim: 2.199e-03 +/- 4.664e-02, 
000055 Errors: L1: 5.021e-03, L2: 5.000e-03, BCE: 1.587e-01, Same sim: 8.000e-01 +/- 4.000e-01, Diff sim: 2.553e-03 +/- 5.025e-02, 
000056 Errors: L1: 1.308e-02, L2: 1.305e-02, BCE: 4.264e-01, Same sim: 4.778e-01 +/- 4.995e-01, Diff sim: 6.631e-03 +/- 8.103e-02, 
000057 Errors: L1: 5.711e-03, L2: 5.694e-03, BCE: 1.903e-01, Same sim: 7.722e-01 +/- 4.194e-01, Diff sim: 2.900e-03 +/- 5.362e-02, 
000058 Errors: L1: 5.363e-03, L2: 5.347e-03, BCE: 1.696e-01, Same sim: 7.861e-01 +/- 4.100e-01, Diff sim: 2.724e-03 +/- 5.196e-02, 
000059 Errors: L1: 5.158e-03, L2: 5.139e-03, BCE: 1.808e-01, Same sim: 7.944e-01 +/- 4.041e-01, Diff sim: 2.621e-03 +/- 5.094e-02, 
000060 Errors: L1: 6.201e-03, L2: 6.180e-03, BCE: 2.012e-01, Same sim: 7.528e-01 +/- 4.314e-01, Diff sim: 3.150e-03 +/- 5.585e-02, 
000061 Errors: L1: 5.638e-03, L2: 5.625e-03, BCE: 1.720e-01, Same sim: 7.750e-01 +/- 4.176e-01, Diff sim: 2.862e-03 +/- 5.329e-02, 
000062 Errors: L1: 5.155e-03, L2: 5.138e-03, BCE: 1.634e-01, Same sim: 7.944e-01 +/- 4.041e-01, Diff sim: 2.618e-03 +/- 5.094e-02, 
000063 Errors: L1: 6.681e-03, L2: 6.666e-03, BCE: 2.185e-01, Same sim: 7.333e-01 +/- 4.422e-01, Diff sim: 3.390e-03 +/- 5.800e-02, 
000064 Errors: L1: 4.461e-03, L2: 4.444e-03, BCE: 1.542e-01, Same sim: 8.222e-01 +/- 3.823e-01, Diff sim: 2.267e-03 +/- 4.738e-02, 
000065 Errors: L1: 4.255e-03, L2: 4.236e-03, BCE: 1.403e-01, Same sim: 8.305e-01 +/- 3.751e-01, Diff sim: 2.163e-03 +/- 4.626e-02, 
000066 Errors: L1: 5.844e-03, L2: 5.833e-03, BCE: 1.990e-01, Same sim: 7.667e-01 +/- 4.229e-01, Diff sim: 2.965e-03 +/- 5.426e-02, 
000067 Errors: L1: 6.821e-03, L2: 6.805e-03, BCE: 2.354e-01, Same sim: 7.278e-01 +/- 4.451e-01, Diff sim: 3.461e-03 +/- 5.860e-02, 
000068 Errors: L1: 5.015e-03, L2: 5.000e-03, BCE: 1.649e-01, Same sim: 8.000e-01 +/- 4.000e-01, Diff sim: 2.547e-03 +/- 5.025e-02, 
000069 Errors: L1: 5.013e-03, L2: 5.000e-03, BCE: 1.574e-01, Same sim: 8.000e-01 +/- 4.000e-01, Diff sim: 2.545e-03 +/- 5.025e-02, 
000070 Errors: L1: 4.950e-03, L2: 4.930e-03, BCE: 1.817e-01, Same sim: 8.028e-01 +/- 3.979e-01, Diff sim: 2.516e-03 +/- 4.990e-02, 
000071 Errors: L1: 4.459e-03, L2: 4.444e-03, BCE: 1.463e-01, Same sim: 8.222e-01 +/- 3.823e-01, Diff sim: 2.265e-03 +/- 4.738e-02, 
000072 Errors: L1: 4.531e-03, L2: 4.514e-03, BCE: 1.606e-01, Same sim: 8.194e-01 +/- 3.846e-01, Diff sim: 2.303e-03 +/- 4.775e-02, 
000073 Errors: L1: 4.805e-03, L2: 4.791e-03, BCE: 1.544e-01, Same sim: 8.083e-01 +/- 3.936e-01, Diff sim: 2.440e-03 +/- 4.919e-02, 
000074 Errors: L1: 6.130e-03, L2: 6.111e-03, BCE: 2.048e-01, Same sim: 7.555e-01 +/- 4.297e-01, Diff sim: 3.113e-03 +/- 5.554e-02, 
000075 Errors: L1: 4.673e-03, L2: 4.652e-03, BCE: 1.489e-01, Same sim: 8.139e-01 +/- 3.892e-01, Diff sim: 2.376e-03 +/- 4.848e-02, 
000076 Errors: L1: 1.397e-02, L2: 1.396e-02, BCE: 5.027e-01, Same sim: 4.417e-01 +/- 4.966e-01, Diff sim: 7.082e-03 +/- 8.377e-02, 
000077 Errors: L1: 3.902e-03, L2: 3.889e-03, BCE: 1.316e-01, Same sim: 8.444e-01 +/- 3.624e-01, Diff sim: 1.983e-03 +/- 4.433e-02, 
000078 Errors: L1: 5.993e-03, L2: 5.972e-03, BCE: 1.998e-01, Same sim: 7.611e-01 +/- 4.264e-01, Diff sim: 3.045e-03 +/- 5.490e-02, 
000079 Errors: L1: 5.159e-03, L2: 5.139e-03, BCE: 1.997e-01, Same sim: 7.944e-01 +/- 4.041e-01, Diff sim: 2.622e-03 +/- 5.094e-02, 
